Pay Grade/Step,Annual Salary,Class ,Title,Department,Employment Status,EEO Job Cat,EEO Job Cat Desc,Gender,Ethnic Code,Description,Year of Birth,Date Started,FLSA Exempt Y/N
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1968,01/01/2013,N
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1989,01/01/2013,N
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,02,Black,1989,01/01/2013,N
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1989,01/01/2013,N
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,02,Black,1970,01/01/2013,N
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,02,Black,1990,01/01/2013,N
PS0402,47774.61,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,01/01/2013,N
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1986,01/01/2013,N
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1989,01/01/2013,N
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,F,01,White (Not of Hispanic Origin),1989,01/01/2013,N
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1968,01/01/2013,N
PS0402,47774.61,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1991,01/01/2013,N
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,F,01,White (Not of Hispanic Origin),1984,01/01/2013,N
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,03,Hispanic,1986,01/01/2013,N
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,02,Black,1983,01/01/2013,N
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,01/01/2013,N
ET0201,32356.77,10408,Emer Telecommunications Off 2,Emergency Communication Center,Full Time,6,Administrative Support,M,03,Hispanic,1987,04/08/2013,N
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1988,01/01/2013,N
PS0402,47774.61,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1982,01/01/2013,N
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1985,01/01/2013,N
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,02,Black,1988,01/01/2013,N
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,F,01,White (Not of Hispanic Origin),1987,01/01/2013,N
NS,33228,,.,Circuit Court Satellite,Full Time,6,Administrative Support,M,02,Black,1989,01/01/2013,N
SR0601,29027.16,10122,Office Support Rep 3,Public Library,Full Time,6,Administrative Support,M,02,Black,1954,12/24/2012,N
SR0503,27675.28,04725,Property Guard 2,Public Library,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1949,12/24/2012,N
SR0503,27675.28,04725,Property Guard 2,Public Library,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1952,12/24/2012,N
SR0603,30963.3,04540,Computer Operator 2,Information Technology Service,Full Time,6,Administrative Support,M,02,Black,1960,12/21/2012,N
SR1400,76599.44,06531,Human Resources Mgr,Information Technology Service,Full Time,1,Officials and Administrators,F,01,White (Not of Hispanic Origin),1961,12/26/2012,Y
SR0503,36901.93,07334,Naturalist 1,Parks,Part Time,2,Professionals,F,01,White (Not of Hispanic Origin),1969,12/16/2011,N
SR0801,35955.04,07143,Sheriff Case Worker 1,Sheriff,Full Time,6,Administrative Support,F,02,Black,1988,12/20/2011,N
PS0403,50751.67,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1984,01/01/2012,N
PS0403,50751.67,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1984,01/01/2012,N
PS0403,50751.67,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1985,01/01/2012,N
PS0403,50751.67,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1976,01/01/2012,N
PS0201,36471.06,03257,Police Officer Trainee,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1982,01/12/2015,N
PS0403,50751.67,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1986,01/01/2012,N
PS0403,47878.93,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1984,01/01/2012,N
PS0403,50751.67,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,01/01/2012,N
PS0403,50751.67,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1985,01/01/2012,N
PS0403,49315.3,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1984,01/01/2012,N
PS0403,50751.67,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,01/01/2012,N
PS0403,47878.93,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1988,01/01/2012,N
PS0403,50751.67,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1965,01/01/2012,N
SR0603,30963.3,10122,Office Support Rep 3,Water Services,Full Time,6,Administrative Support,F,01,White (Not of Hispanic Origin),1956,12/22/2012,N
SR1200,54814,07245,Admin Svcs Officer 4,Codes Administration,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1975,12/23/2013,Y
SR0600,30595.14,10122,Office Support Rep 3,Health,Full Time,6,Administrative Support,F,03,Hispanic,1980,12/31/2012,N
TG0502,29631.63,06826,Equip Operator 1,Public Works,Full Time,8,Service Maintenance,M,02,Black,1989,02/04/2013,N
NS,28614.5,06788,Deputy Clerk 2,County Clerk,Full Time,6,Administrative Support,F,02,Black,1952,12/31/2012,N
SR0801,35955.04,07375,Probation Officer 1,General Sessions Court,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1985,04/01/2013,N
PS0502,51233.06,07344,Paramedic 2,Fire,Full Time,3,Technicians,M,01,White (Not of Hispanic Origin),1973,01/01/2013,N
PS0502,51233.06,07344,Paramedic 2,Fire,Full Time,3,Technicians,M,01,White (Not of Hispanic Origin),1977,01/01/2013,N
PS0502,51233.06,07344,Paramedic 2,Fire,Full Time,3,Technicians,M,01,White (Not of Hispanic Origin),1973,01/01/2013,N
PS0502,51233.06,07344,Paramedic 2,Fire,Full Time,3,Technicians,M,01,White (Not of Hispanic Origin),1985,01/01/2013,N
PS0502,51233.06,07344,Paramedic 2,Fire,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1984,01/01/2013,N
PS0502,51233.06,07344,Paramedic 2,Fire,Full Time,3,Technicians,M,01,White (Not of Hispanic Origin),1986,01/01/2013,N
PS0402,46383.12,01818,Emerg Medical Tech 2,Fire,Full Time,3,Technicians,M,01,White (Not of Hispanic Origin),1981,01/01/2013,N
PS0402,47774.61,01818,Emerg Medical Tech 2,Fire,Full Time,3,Technicians,M,01,White (Not of Hispanic Origin),1990,01/01/2013,N
PS0502,51233.06,07344,Paramedic 2,Fire,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1981,01/01/2013,N
PS0501,49580.52,07344,Paramedic 2,Fire,Full Time,3,Technicians,F,01,White (Not of Hispanic Origin),1984,01/01/2013,N
PS0402,46383.12,07309,Fire Fighter 2,Fire,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1979,01/01/2013,N
PS0401,44887.3,07309,Fire Fighter 2,Fire,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1973,01/01/2013,N
PS0402,46383.12,07309,Fire Fighter 2,Fire,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1984,01/01/2013,N
PS0402,46383.12,07309,Fire Fighter 2,Fire,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1982,01/01/2013,N
PS0402,47774.61,07309,Fire Fighter 2,Fire,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1974,01/01/2013,N
PS0402,46383.12,07309,Fire Fighter 2,Fire,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1974,01/01/2013,N
PS0402,46383.12,07309,Fire Fighter 2,Fire,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1973,01/01/2013,N
PS0402,46383.12,07309,Fire Fighter 2,Fire,Full Time,4,Protective Service Workers,M,02,Black,1968,01/01/2013,N
PS0402,46383.12,07309,Fire Fighter 2,Fire,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1984,01/01/2013,N
PS0402,46383.12,07309,Fire Fighter 2,Fire,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1981,01/01/2013,N
PS0402,49166.11,07309,Fire Fighter 2,Fire,Full Time,4,Protective Service Workers,F,01,White (Not of Hispanic Origin),1976,01/01/2013,N
PS0402,46383.12,07309,Fire Fighter 2,Fire,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,01/01/2013,N
PS0401,44888.48,07309,Fire Fighter 2,Fire,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1977,10/01/2013,N
PS0402,46383.12,07309,Fire Fighter 2,Fire,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1979,01/01/2013,N
PS0402,46383.12,07309,Fire Fighter 2,Fire,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1985,01/01/2013,N
PS0402,46383.12,01818,Emerg Medical Tech 2,Fire,Full Time,3,Technicians,F,01,White (Not of Hispanic Origin),1989,01/01/2013,N
PS0502,51233.06,07344,Paramedic 2,Fire,Full Time,3,Technicians,M,01,White (Not of Hispanic Origin),1971,01/01/2013,N
PS0502,51233.06,07344,Paramedic 2,Fire,Full Time,3,Technicians,F,01,White (Not of Hispanic Origin),1977,01/01/2013,N
PS0402,46383.12,07309,Fire Fighter 2,Fire,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1969,01/01/2013,N
PS0402,46383.12,07309,Fire Fighter 2,Fire,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1975,01/01/2013,N
NS,87137.75,04972,Special Asst,Mayor's Office,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1978,01/07/2013,Y
TG1002,38498.5,00960,Carpenter 1,Public Works,Full Time,8,Service Maintenance,M,03,Hispanic,1971,01/07/2013,N
SP0103,8763.3,03445,School Crossing Guard,Police,Part Time,4,Protective Service Workers,F,01,White (Not of Hispanic Origin),1967,01/07/2013,N
CA1000,67038.4,10658,Technology Mgr-Conv Ctr Auth,Convention Center Authority,Full Time,1,Officials and Administrators,M,02,Black,1978,01/07/2013,Y
MAC01A,24172.43,10250,Teacher Asst,Metro Action Commission,Full Time,6,Administrative Support,F,02,Black,1979,01/07/2013,N
MAC09B,40456,10202,Finance Officer 1,Metro Action Commission,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1981,01/07/2013,N
SR0701,32356.77,10163,Service Rep 2,Water Services,Full Time,6,Administrative Support,F,01,White (Not of Hispanic Origin),1983,01/05/2013,N
SR0803,38351.76,10464,Water Quality Analyst 1,Water Services,Full Time,2,Professionals,M,02,Black,1960,01/05/2013,N
SR1500,93063.12,07762,Special Projects Mgr,Social Services,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1978,01/07/2013,Y
SR1103,51665.92,07756,Technical Specialist 1,Police,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1982,01/16/2013,N
SR0703,34514.67,06880,Recreation Leader,Parks,Full Time,5,Para-Professional,F,01,White (Not of Hispanic Origin),1989,01/08/2013,N
SR0804,39550.12,04949,Social Worker 1,District Attorney,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1976,01/14/2013,N
SR1200,58511.25,07415,Treatment Plant Asst Mgr,Water Services,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1971,01/12/2013,Y
CA0100,24024,10674,Set Up Staff-Convention Ctr,Convention Center Authority,Full Time,8,Service Maintenance,M,02,Black,1980,01/08/2013,N
