|Department|Title|Pay Grade|Annual Salary|Ethnic Code|Description|Gender|Year of Birth|EEO Job description
488|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|5,200.00|01|White (Not of Hispanic Origin)|M|1932|Officials and Administrators
508|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|5,200.00|01|White (Not of Hispanic Origin)|M|1958|Officials and Administrators
528|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|2,600.00|01|White (Not of Hispanic Origin)|F|1965|Officials and Administrators
572|Assessor of Property|Seasonal/Part-time/Temporary|NS|33,945.60|01|White (Not of Hispanic Origin)|M|1946|Officials and Administrators
578|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|52,000.00|01|White (Not of Hispanic Origin)|F|1953|Officials and Administrators
614|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|2,600.00|01|White (Not of Hispanic Origin)|M|1950|Officials and Administrators
1767|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|2,600.00|01|White (Not of Hispanic Origin)|M|1960|Professionals
1874|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|2,600.00|01|White (Not of Hispanic Origin)|M|1946|Professionals
1875|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|2,082.50|01|White (Not of Hispanic Origin)|M|1939|Professionals
1877|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|7,000.00|01|White (Not of Hispanic Origin)|M|1957|Professionals
2427|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|2,600.00|01|White (Not of Hispanic Origin)|M|1946|Professionals
2677|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|2,600.00|01|White (Not of Hispanic Origin)|M|1970|Professionals
2678|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|2,600.00|01|White (Not of Hispanic Origin)|M|1959|Professionals
2679|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|2,600.00|01|White (Not of Hispanic Origin)|F|1950|Professionals
2680|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|2,600.00|01|White (Not of Hispanic Origin)|M|1949|Professionals
2681|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|2,600.00|01|White (Not of Hispanic Origin)|M|1962|Professionals
2682|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|2,600.00|02|Black|M|1959|Professionals
2683|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|2,600.00|01|White (Not of Hispanic Origin)|M|1956|Professionals
2684|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|2,600.00|01|White (Not of Hispanic Origin)|M|1980|Professionals
2685|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|2,600.00|01|White (Not of Hispanic Origin)|M|1974|Professionals
2686|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|2,600.00|01|White (Not of Hispanic Origin)|F|1958|Professionals
2687|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|2,600.00|02|Black|M|1951|Professionals
2688|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|2,600.00|01|White (Not of Hispanic Origin)|M|1962|Professionals
2689|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|2,600.00|01|White (Not of Hispanic Origin)|M|1960|Professionals
2691|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|2,600.00|02|Black|M|1969|Professionals
2692|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|2,600.00|01|White (Not of Hispanic Origin)|M|1950|Professionals
2694|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|2,600.00|99|Unknown|M|1956|Professionals
2754|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|2,600.00|01|White (Not of Hispanic Origin)|F|1944|Professionals
2755|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|2,600.00|01|White (Not of Hispanic Origin)|M|1960|Professionals
2756|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|2,600.00|01|White (Not of Hispanic Origin)|M|1957|Professionals
2758|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|2,600.00|01|White (Not of Hispanic Origin)|F|1965|Professionals
2759|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|2,600.00|01|White (Not of Hispanic Origin)|M|1959|Professionals
2771|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|2,600.00|01|White (Not of Hispanic Origin)|F|1965|Professionals
6625|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|10,400.00|01|White (Not of Hispanic Origin)|M|1981|Administrative Support
6626|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|10,400.00|01|White (Not of Hispanic Origin)|M|1960|Administrative Support
6629|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|13,000.00|01|White (Not of Hispanic Origin)|M|1957|Administrative Support
6982|Assessor of Property|Seasonal/Part-time/Temporary|NS|5,200.00|02|Black|F|1988|Administrative Support
7123|Assessor of Property|Seasonal/Part-time/Temporary|NS|5,200.00|02|Black|M|1991|Administrative Support
7432|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|13,000.00|01|White (Not of Hispanic Origin)|M|1941|Administrative Support
7548|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|13,000.00|01|White (Not of Hispanic Origin)|F|1967|Administrative Support
7694|Assessor of Property|Seasonal/Part-time/Temporary|NS|8,670.00|01|White (Not of Hispanic Origin)|F|1991|Administrative Support
7695|Assessor of Property|Seasonal/Part-time/Temporary|NS|2,496.00|01|White (Not of Hispanic Origin)|F|1993|Administrative Support
7755|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|52,000.00|01|White (Not of Hispanic Origin)|M|1975|Administrative Support
7756|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|52,000.00|01|White (Not of Hispanic Origin)|F|1965|Administrative Support
7757|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|52,000.00|01|White (Not of Hispanic Origin)|M|1955|Administrative Support
7758|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|52,000.00|01|White (Not of Hispanic Origin)|F|1970|Administrative Support
7759|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|52,000.00|01|White (Not of Hispanic Origin)|F|1958|Administrative Support
7760|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|52,000.00|01|White (Not of Hispanic Origin)|F|1961|Administrative Support
7761|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|52,000.00|01|White (Not of Hispanic Origin)|F|1974|Administrative Support
7762|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|52,000.00|01|White (Not of Hispanic Origin)|F|1961|Administrative Support
7763|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|52,000.00|01|White (Not of Hispanic Origin)|F|1961|Administrative Support
7764|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|52,000.00|01|White (Not of Hispanic Origin)|F|1955|Administrative Support
7765|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|13,000.00|01|White (Not of Hispanic Origin)|M|1968|Administrative Support
7766|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|13,000.00|01|White (Not of Hispanic Origin)|M|1973|Administrative Support
7767|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|13,000.00|01|White (Not of Hispanic Origin)|M|1939|Administrative Support
7895|Assessor of Property|Hrng Off-Tax Assess Reassessmt|NS|13,000.00|02|Black|F|1973|Administrative Support
8402|Assessor of Property|Seasonal/Part-time/Temporary|NS|10,192.00|02|Black|F|1941|Service Maintenance
8430|Assessor of Property|Seasonal/Part-time/Temporary|NS|9,984.00|02|Black|M|1993|Service Maintenance
7415|Assessor of Property|Office Support Rep 2|SR05|30,825.63|01|White (Not of Hispanic Origin)|F|1987|Administrative Support
81|Assessor of Property|Appraiser 1|SR06|28,739.77|02|Black|M|1991|Officials and Administrators
90|Assessor of Property|Appraiser 1|SR06|28,739.77|01|White (Not of Hispanic Origin)|F|1990|Officials and Administrators
478|Assessor of Property|Appraiser 1|SR06|28,739.77|01|White (Not of Hispanic Origin)|F|1989|Officials and Administrators
7827|Assessor of Property|Office Support Rep 3|SR06|31,615.22|02|Black|F|1988|Administrative Support
7353|Assessor of Property|Office Support Rep 3|SR06|33,532.19|01|White (Not of Hispanic Origin)|F|1955|Administrative Support
332|Assessor of Property|Appraiser 1|SR06|36,407.64|02|Black|F|1951|Officials and Administrators
7039|Assessor of Property|Office Support Rep 3|SR06|36,407.64|01|White (Not of Hispanic Origin)|F|1968|Administrative Support
306|Assessor of Property|Appraiser 1|SR06|37,366.13|02|Black|F|1959|Officials and Administrators
326|Assessor of Property|Appraiser 1|SR06|37,366.13|01|White (Not of Hispanic Origin)|F|1951|Officials and Administrators
480|Assessor of Property|Appraiser 1|SR06|37,366.13|02|Black|M|1949|Officials and Administrators
482|Assessor of Property|Appraiser 1|SR06|37,366.13|01|White (Not of Hispanic Origin)|M|1974|Officials and Administrators
546|Assessor of Property|Appraiser 1|SR06|37,366.13|01|White (Not of Hispanic Origin)|F|1978|Officials and Administrators
7089|Assessor of Property|Office Support Rep 3|SR06|37,365.12|02|Black|F|1961|Administrative Support
1964|Assessor of Property|Appraiser Analyst 1|SR07|33,104.67|02|Black|F|1979|Professionals
7544|Assessor of Property|Office Support Rep 2|SR07|33,104.67|01|White (Not of Hispanic Origin)|F|1987|Administrative Support
7816|Assessor of Property|Office Support Spec 1|SR07|33,104.67|01|White (Not of Hispanic Origin)|F|1987|Administrative Support
7332|Assessor of Property|Office Support Spec 1|SR07|37,377.74|01|White (Not of Hispanic Origin)|F|1959|Administrative Support
7041|Assessor of Property|Office Support Spec 1|SR07|39,514.27|01|White (Not of Hispanic Origin)|F|1971|Administrative Support
7315|Assessor of Property|Office Support Spec 1|SR07|39,514.27|01|White (Not of Hispanic Origin)|F|1960|Administrative Support
348|Assessor of Property|Appraiser 2|SR08|37,972.04|01|White (Not of Hispanic Origin)|M|1978|Officials and Administrators
6579|Assessor of Property|Office Support Spec 2|SR08|37,972.04|02|Black|F|1977|Administrative Support
71|Assessor of Property|Appraiser 2|SR08|39,158.54|01|White (Not of Hispanic Origin)|F|1968|Officials and Administrators
600|Assessor of Property|Appraiser 2|SR08|39,158.54|01|White (Not of Hispanic Origin)|F|1960|Officials and Administrators
2555|Assessor of Property|Appraiser 2|SR08|39,158.54|02|Black|M|1952|Professionals
6679|Assessor of Property|Office Support Spec 2|SR08|40,345.03|02|Black|F|1985|Administrative Support
7057|Assessor of Property|Office Support Spec 2|SR08|42,718.02|01|White (Not of Hispanic Origin)|F|1968|Administrative Support
7082|Assessor of Property|Office Support Spec 2|SR08|42,718.02|01|White (Not of Hispanic Origin)|F|1961|Administrative Support
323|Assessor of Property|Appraiser 2|SR08|43,904.52|01|White (Not of Hispanic Origin)|M|1961|Officials and Administrators
337|Assessor of Property|Appraiser 2|SR08|43,904.52|01|White (Not of Hispanic Origin)|M|1958|Officials and Administrators
342|Assessor of Property|Appraiser 2|SR08|46,277.92|01|White (Not of Hispanic Origin)|M|1945|Officials and Administrators
350|Assessor of Property|Appraiser 2|SR08|46,277.50|02|Black|M|1958|Officials and Administrators
7385|Assessor of Property|Office Support Spec 2|SR08|46,277.50|02|Black|F|1972|Administrative Support
7653|Assessor of Property|Admin Asst|SR09|44,684.60|01|White (Not of Hispanic Origin)|F|1980|Administrative Support
547|Assessor of Property|Appraiser 3|SR10|43,550.89|01|White (Not of Hispanic Origin)|M|1981|Officials and Administrators
520|Assessor of Property|Appraiser 3|SR10|45,002.34|01|White (Not of Hispanic Origin)|M|1973|Officials and Administrators
534|Assessor of Property|Appraiser 3|SR10|46,453.79|01|White (Not of Hispanic Origin)|M|1982|Officials and Administrators
388|Assessor of Property|Appraiser 3|SR10|49,356.69|01|White (Not of Hispanic Origin)|F|1966|Officials and Administrators
335|Assessor of Property|Appraiser 3|SR10|50,808.14|01|White (Not of Hispanic Origin)|M|1957|Officials and Administrators
346|Assessor of Property|Appraiser 3|SR10|50,808.14|01|White (Not of Hispanic Origin)|M|1968|Officials and Administrators
906|Assessor of Property|Admin Svcs Officer 3|SR10|50,808.14|01|White (Not of Hispanic Origin)|F|1964|Professionals
165|Assessor of Property|Appraiser 3|SR10|53,711.04|01|White (Not of Hispanic Origin)|F|1969|Officials and Administrators
217|Assessor of Property|Appraiser 3|SR10|53,711.04|01|White (Not of Hispanic Origin)|M|1954|Officials and Administrators
615|Assessor of Property|Appraiser 3|SR10|53,711.04|01|White (Not of Hispanic Origin)|M|1972|Officials and Administrators
1162|Assessor of Property|Info Systems App Analyst 1|SR10|53,711.04|01|White (Not of Hispanic Origin)|M|1964|Professionals
344|Assessor of Property|Appraiser 3|SR10|56,613.94|02|Black|M|1955|Officials and Administrators
1456|Assessor of Property|Training Spec|SR11|57,547.09|02|Black|M|1965|Professionals
219|Assessor of Property|Appraiser 4|SR12|59,999.68|01|White (Not of Hispanic Origin)|F|1963|Officials and Administrators
311|Assessor of Property|Appraiser 4|SR12|57,730.40|01|White (Not of Hispanic Origin)|F|1960|Officials and Administrators
321|Assessor of Property|Appraiser 4|SR12|60,000.00|01|White (Not of Hispanic Origin)|M|1960|Officials and Administrators
325|Assessor of Property|Appraiser 4|SR12|60,000.00|01|White (Not of Hispanic Origin)|M|1953|Officials and Administrators
328|Assessor of Property|Appraiser 4|SR12|56,000.06|01|White (Not of Hispanic Origin)|F|1961|Officials and Administrators
352|Assessor of Property|Appraiser 4|SR12|60,000.00|01|White (Not of Hispanic Origin)|M|1962|Officials and Administrators
355|Assessor of Property|Appraiser 4|SR12|66,892.95|01|White (Not of Hispanic Origin)|M|1951|Officials and Administrators
409|Assessor of Property|Appraiser 4|SR12|64,000.00|01|White (Not of Hispanic Origin)|F|1951|Officials and Administrators
1453|Assessor of Property|Admin Svcs Officer 4|SR12|61,224.80|01|White (Not of Hispanic Origin)|F|1954|Professionals
1537|Assessor of Property|Info Systems App Analyst 3|SR12|63,336.00|01|White (Not of Hispanic Origin)|M|1956|Professionals
1565|Assessor of Property|Appraiser Analyst 3|SR12|60,169.20|01|White (Not of Hispanic Origin)|M|1951|Professionals
1582|Assessor of Property|Admin Svcs Officer 4|SR12|66,482.50|01|White (Not of Hispanic Origin)|F|1974|Professionals
2129|Assessor of Property|Admin Svcs Officer 4|SR12|55,000.00|01|White (Not of Hispanic Origin)|M|1966|Professionals
2472|Assessor of Property|Info Systems App Analyst 3|SR12|63,336.00|01|White (Not of Hispanic Origin)|M|1978|Professionals
1550|Assessor of Property|Info Systems App Analyst 3|SR12|68,924.51|01|White (Not of Hispanic Origin)|M|1951|Professionals
312|Assessor of Property|Admin Svcs Mgr|SR13|73,677.35|01|White (Not of Hispanic Origin)|M|1956|Officials and Administrators
359|Assessor of Property|Admin Svcs Mgr|SR13|65,000.00|01|White (Not of Hispanic Origin)|M|1966|Officials and Administrators
554|Assessor of Property|Admin Svcs Mgr|SR13|72,836.40|02|Black|M|1974|Officials and Administrators
731|Assessor of Property|Admin Svcs Mgr|SR13|68,512.50|01|White (Not of Hispanic Origin)|M|1970|Professionals
1109|Assessor of Property|Info Systems Mgr|SR13|81,000.00|01|White (Not of Hispanic Origin)|M|1961|Professionals
281|Assessor of Property|Assessments Manager|SR14|90,000.00|03|Hispanic|M|1963|Officials and Administrators
327|Assessor of Property|Assessments Manager|SR14|90,000.00|01|White (Not of Hispanic Origin)|M|1959|Officials and Administrators
396|Beer Board|Beer Permit Board-Exec Dir|DP01|64,070.15|02|Black|F|1952|Officials and Administrators
7232|Beer Board|Office Support Spec 1|SR07|40,582.54|01|White (Not of Hispanic Origin)|F|1972|Administrative Support
553|Beer Board|Beer Permit Inspector 1|SR08|35,599.05|02|Black|M|1985|Officials and Administrators
536|Beer Board|Beer Permit Inspector 2|SR09|45,999.20|02|Black|M|1968|Officials and Administrators
6790|Circuit Court Clerk|Office Support Rep 1|SR04|29,753.14|01|White (Not of Hispanic Origin)|F|1962|Administrative Support
7790|Circuit Court Clerk|Office Support Rep 1|SR04|29,753.14|01|White (Not of Hispanic Origin)|F|1986|Administrative Support
7848|Circuit Court Clerk|Data Entry Operator 1|SR04|29,753.14|01|White (Not of Hispanic Origin)|F|1988|Administrative Support
7804|Circuit Court Clerk|Office Support Rep 2|SR05|29,969.54|01|White (Not of Hispanic Origin)|M|1988|Administrative Support
7590|Circuit Court Clerk|Steno Clerk 2|SR05|31,681.72|01|White (Not of Hispanic Origin)|F|1953|Administrative Support
7720|Circuit Court Clerk|Data Entry Operator 2|SR05|32,537.81|01|White (Not of Hispanic Origin)|M|1986|Administrative Support
7018|Circuit Court Clerk|Office Support Rep 2|SR05|33,393.91|01|White (Not of Hispanic Origin)|F|1960|Administrative Support
7043|Circuit Court Clerk|Data Entry Operator 2|SR05|33,393.91|02|Black|F|1976|Administrative Support
7637|Circuit Court Clerk|Data Entry Operator 2|SR05|33,393.91|01|White (Not of Hispanic Origin)|F|1953|Administrative Support
7643|Circuit Court Clerk|Steno Clerk 2|SR05|33,393.91|01|White (Not of Hispanic Origin)|M|1980|Administrative Support
7912|Circuit Court Clerk|Data Entry Operator 2|SR05|33,393.91|01|White (Not of Hispanic Origin)|M|1959|Administrative Support
7911|Circuit Court Clerk|Office Support Rep 3|SR06|32,573.70|01|White (Not of Hispanic Origin)|F|1989|Administrative Support
7304|Circuit Court Clerk|Office Support Rep 3|SR06|34,490.67|01|White (Not of Hispanic Origin)|F|1962|Administrative Support
7441|Circuit Court Clerk|Office Support Rep 3|SR06|34,490.67|02|Black|F|1957|Administrative Support
7555|Circuit Court Clerk|Office Support Rep 3|SR06|34,490.67|03|Hispanic|F|1974|Administrative Support
7413|Circuit Court Clerk|Ct Clerk|SR06|35,449.16|01|White (Not of Hispanic Origin)|M|1987|Administrative Support
6986|Circuit Court Clerk|Ct Clerk|SR06|36,407.64|01|White (Not of Hispanic Origin)|M|1962|Administrative Support
7022|Circuit Court Clerk|Ct Clerk|SR06|36,407.64|01|White (Not of Hispanic Origin)|F|1959|Administrative Support
7661|Circuit Court Clerk|Ct Clerk|SR06|36,407.64|02|Black|F|1956|Administrative Support
7540|Circuit Court Clerk|Ct Clerk|SR06|37,366.13|02|Black|M|1983|Administrative Support
7559|Circuit Court Clerk|Ct Clerk|SR06|37,366.13|01|White (Not of Hispanic Origin)|F|1982|Administrative Support
4606|Circuit Court Clerk|Warrant Officer 1|SR08|40,345.03|01|White (Not of Hispanic Origin)|M|1955|Protective Service Workers
4715|Circuit Court Clerk|Warrant Officer 1|SR08|40,345.03|01|White (Not of Hispanic Origin)|F|1976|Protective Service Workers
4734|Circuit Court Clerk|Warrant Officer 1|SR08|40,345.03|01|White (Not of Hispanic Origin)|F|1937|Protective Service Workers
4755|Circuit Court Clerk|Warrant Officer 1|SR08|40,345.03|01|White (Not of Hispanic Origin)|F|1971|Protective Service Workers
5172|Circuit Court Clerk|Warrant Officer 1|SR08|41,531.53|01|White (Not of Hispanic Origin)|M|1979|Protective Service Workers
5173|Circuit Court Clerk|Warrant Officer 1|SR08|41,531.53|01|White (Not of Hispanic Origin)|F|1981|Protective Service Workers
7456|Circuit Court Clerk|Warrant Officer 1|SR08|41,531.53|02|Black|F|1950|Administrative Support
4858|Circuit Court Clerk|Warrant Officer 1|SR08|42,718.02|02|Black|M|1975|Protective Service Workers
4723|Circuit Court Clerk|Warrant Officer 1|SR08|43,904.52|02|Black|F|1964|Protective Service Workers
4821|Circuit Court Clerk|Warrant Officer 1|SR08|43,904.52|02|Black|M|1964|Protective Service Workers
1452|Circuit Court Clerk|Admin Svcs Officer 2|SR08|46,277.50|02|Black|F|1953|Professionals
1702|Circuit Court Clerk|Admin Svcs Officer 2|SR08|46,277.50|01|White (Not of Hispanic Origin)|M|1979|Professionals
4756|Circuit Court Clerk|Warrant Officer 1|SR08|46,277.50|02|Black|F|1960|Protective Service Workers
7053|Circuit Court Clerk|Admin Asst|SR09|45,998.83|02|Black|F|1967|Administrative Support
7093|Circuit Court Clerk|Admin Asst|SR09|47,313.05|01|White (Not of Hispanic Origin)|F|1956|Administrative Support
4604|Circuit Court Clerk|Warrant Officer 2|SR09|48,627.27|01|White (Not of Hispanic Origin)|F|1960|Protective Service Workers
4637|Circuit Court Clerk|Warrant Officer 2|SR09|48,627.27|02|Black|M|1958|Protective Service Workers
7028|Circuit Court Clerk|Admin Asst|SR09|49,941.49|01|White (Not of Hispanic Origin)|F|1950|Administrative Support
1983|Circuit Court Clerk|Admin Svcs Officer 3|SR10|46,453.79|01|White (Not of Hispanic Origin)|F|1984|Professionals
1882|Circuit Court Clerk|Admin Svcs Officer 3|SR10|53,711.04|02|Black|M|1978|Professionals
6846|Circuit Court Clerk|Computer Operations Shift Supv|SR11|57,547.09|01|White (Not of Hispanic Origin)|M|1961|Administrative Support
2293|Circuit Court Clerk|Finance Officer 3|SR12|54,813.17|01|White (Not of Hispanic Origin)|F|1955|Professionals
173|Circuit Court Clerk|Chief Dpty Clerk-Gen Sess Ct|SR13|79,045.52|01|White (Not of Hispanic Origin)|M|1967|Officials and Administrators
33|Circuit Court Satellite|Satellite Department||137,198.30|01|White (Not of Hispanic Origin)|M|1962|Elected Officials
390|Circuit Court Satellite|Satellite Department||54,348.00|01|White (Not of Hispanic Origin)|F|1966|Officials and Administrators
1213|Circuit Court Satellite|Satellite Department||107,712.00|01|White (Not of Hispanic Origin)|M|1954|Professionals
1470|Circuit Court Satellite|Satellite Department||49,944.00|99|Unknown|F|1971|Professionals
1588|Circuit Court Satellite|Satellite Department||60,804.00|01|White (Not of Hispanic Origin)|M|1963|Professionals
1895|Circuit Court Satellite|Satellite Department||43,452.00|02|Black|F|1977|Professionals
1906|Circuit Court Satellite|Satellite Department||46,872.00|99|Unknown|F|1969|Professionals
2064|Circuit Court Satellite|Satellite Department||69,672.00|01|White (Not of Hispanic Origin)|F|1958|Professionals
2130|Circuit Court Satellite|Satellite Department||98,844.00|01|White (Not of Hispanic Origin)|F|1969|Professionals
2270|Circuit Court Satellite|Satellite Department||40,536.00|01|White (Not of Hispanic Origin)|F|1969|Professionals
2271|Circuit Court Satellite|Satellite Department||73,476.00|01|White (Not of Hispanic Origin)|M|1966|Professionals
2273|Circuit Court Satellite|Satellite Department||74,748.00|01|White (Not of Hispanic Origin)|M|1958|Professionals
2274|Circuit Court Satellite|Satellite Department||40,536.00|01|White (Not of Hispanic Origin)|F|1943|Professionals
2276|Circuit Court Satellite|Satellite Department||51,192.00|01|White (Not of Hispanic Origin)|F|1966|Professionals
2279|Circuit Court Satellite|Satellite Department||51,312.00|01|White (Not of Hispanic Origin)|F|1962|Professionals
2280|Circuit Court Satellite|Satellite Department||48,024.00|01|White (Not of Hispanic Origin)|F|1948|Professionals
2281|Circuit Court Satellite|Satellite Department||53,844.00|01|White (Not of Hispanic Origin)|M|1954|Professionals
2282|Circuit Court Satellite|Satellite Department||48,432.00|01|White (Not of Hispanic Origin)|F|1961|Professionals
2283|Circuit Court Satellite|Satellite Department||47,196.00|01|White (Not of Hispanic Origin)|F|1973|Professionals
2284|Circuit Court Satellite|Satellite Department||71,196.00|01|White (Not of Hispanic Origin)|F|1955|Professionals
2285|Circuit Court Satellite|Satellite Department||38,592.00|01|White (Not of Hispanic Origin)|F|1974|Professionals
2287|Circuit Court Satellite|Satellite Department||61,128.00|01|White (Not of Hispanic Origin)|F|1957|Professionals
2292|Circuit Court Satellite|Satellite Department||38,004.00|99|Unknown|F|1975|Professionals
2294|Circuit Court Satellite|Satellite Department||41,808.00|01|White (Not of Hispanic Origin)|F|1971|Professionals
2296|Circuit Court Satellite|Satellite Department||48,972.00|01|White (Not of Hispanic Origin)|F|1958|Professionals
2297|Circuit Court Satellite|Satellite Department||50,100.00|01|White (Not of Hispanic Origin)|M|1971|Professionals
2298|Circuit Court Satellite|Satellite Department||47,328.00|01|White (Not of Hispanic Origin)|F|1972|Professionals
2300|Circuit Court Satellite|Satellite Department||50,364.00|01|White (Not of Hispanic Origin)|M|1965|Professionals
2301|Circuit Court Satellite|Satellite Department||55,860.00|01|White (Not of Hispanic Origin)|F|1963|Professionals
2304|Circuit Court Satellite|Satellite Department||51,192.00|01|White (Not of Hispanic Origin)|F|1965|Professionals
2306|Circuit Court Satellite|Satellite Department||64,608.00|01|White (Not of Hispanic Origin)|M|1975|Professionals
2308|Circuit Court Satellite|Satellite Department||44,976.00|01|White (Not of Hispanic Origin)|M|1979|Professionals
2309|Circuit Court Satellite|Satellite Department||45,516.00|01|White (Not of Hispanic Origin)|F|1964|Professionals
2310|Circuit Court Satellite|Satellite Department||40,536.00|99|Unknown|F|1952|Professionals
2311|Circuit Court Satellite|Satellite Department||43,584.00|99|Unknown|F|1966|Professionals
2312|Circuit Court Satellite|Satellite Department||56,376.00|99|Unknown|F|1965|Professionals
2315|Circuit Court Satellite|Satellite Department||44,028.00|99|Unknown|F|1963|Professionals
