Address Number|Pay Grade/Step|Annual Salary|Class #|Class # Description|Current Dept|Department|Employment Status|Employment Status Description|EEO Job Cat|EEO Job Cat Description|Gender|Ethnic Code|Description|Year of Birth
101872|CO0103| $34,514.67 |06982|Correctional Officer 1|030|Sheriff|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1990
102054|SR0803| $38,351.76 |07375|Probation Officer 1|026|Juvenile Court|F|Full Time|002|Professionals|M|02|Black|1985
102055|SR0803| $38,351.76 |07375|Probation Officer 1|026|Juvenile Court|F|Full Time|002|Professionals|M|01|White (Not of Hispanic Origin)|1982
102292|CA0300| $38,313.60 |10654|Accounting Clerk-Conv Ctr|071|Convention Center Authority|F|Full Time|006|Administrative Support|F|01|White (Not of Hispanic Origin)|1980
102315|SR1103| $51,665.92 |07756|Technical Specialist 1|031|Police|F|Full Time|002|Professionals|M|01|White (Not of Hispanic Origin)|1966
102559|HD0300| $33,880.83 |10758|Public Health Nurse 1|038|Health|P|Part Time|002|Professionals|F|01|White (Not of Hispanic Origin)|1962
102560|SR0600| $30,595.14 |10544|Animal Care & Control Off 1|038|Health|F|Full Time|008|Service Maintenance|F|01|White (Not of Hispanic Origin)|1992
102561|SR0600| $30,595.14 |10544|Animal Care & Control Off 1|038|Health|F|Full Time|008|Service Maintenance|F|01|White (Not of Hispanic Origin)|1988
102562|NS| $12,570.85 |09020|Seasonal/Part-time/Temporary|038|Health|P|Part Time|005|Para-Professional|F|01|White (Not of Hispanic Origin)|1993
102896|SR0703| $25,885.08 |06880|Recreation Leader|040|Parks|P|Part Time|005|Para-Professional|F|02|Black|1956
102900|TG1102| $40,172.35 |01880|Equip Mechanic|010|General Services|F|Full Time|007|Skilled Craft Workers|M|02|Black|1976
103911|SR0901| $39,821.99 |07241|Admin Asst|042|Public Works|F|Full Time|006|Administrative Support|F|01|White (Not of Hispanic Origin)|1973
104360|ET0301| $39,821.99 |10409|Emer Telecommunications Off 3|091|Emergency Communication Center|F|Full Time|006|Administrative Support|F|01|White (Not of Hispanic Origin)|1979
104361|ET0301| $39,821.99 |10409|Emer Telecommunications Off 3|091|Emergency Communication Center|F|Full Time|006|Administrative Support|M|01|White (Not of Hispanic Origin)|1982
104382|SR0703| $34,514.67 |10123|Office Support Spec 1|003|Metropolitan Clerk|F|Full Time|006|Administrative Support|M|01|White (Not of Hispanic Origin)|1982
104444|SR0902| $20,574.32 |10119|Office Support Mgr|029|Justice Integration Services|P|Part Time|006|Administrative Support|F|01|White (Not of Hispanic Origin)|1957
104462|MAC08B| $37,426.69 |10236|Headstart Teacher 2|075|Metro Action Commission|F|Full Time|002|Professionals|F|02|Black|1989
104553|SR1300| $65,127.16 |07346|Human Resources Admin|039|Public Library|F|Full Time|002|Professionals|F|02|Black|1962
104691|MAC01A| $24,172.43 |10250|Teacher Asst|075|Metro Action Commission|F|Full Time|006|Administrative Support|F|02|Black|1965
104728|HD0300| $33,880.83 |10758|Public Health Nurse 1|038|Health|P|Part Time|002|Professionals|F|01|White (Not of Hispanic Origin)|1950
104805|SP0103| $8,763.30 |03445|School Crossing Guard|031|Police|P|Part Time|004|Protective Service Workers|F|01|White (Not of Hispanic Origin)|1956
106478|CA0800| $67,932.80 |10630|Engineering Mgr-Convention Ctr|071|Convention Center Authority|F|Full Time|002|Professionals|M|01|White (Not of Hispanic Origin)|1957
106484|PD0100| $54,227.70 |10171|Asst Pub Defender|021|Public Defender|F|Full Time|002|Professionals|M|01|White (Not of Hispanic Origin)|1980
106545|NS| $8,869.54 |07243|Admin Svcs Officer 2|030|Sheriff|P|Part Time|002|Professionals|M|01|White (Not of Hispanic Origin)|1954
106546|CO0102| $33,435.72 |06982|Correctional Officer 1|030|Sheriff|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1989
106948|SR1000| $46,665.17 |10151|Finance Officer 2|015|Finance|F|Full Time|002|Professionals|M|01|White (Not of Hispanic Origin)|1976
107008|HD0300| $49,066.24 |10758|Public Health Nurse 1|038|Health|F|Full Time|002|Professionals|F|02|Black|1968
107387|SR0603| $30,963.30 |03440|Equip & Supply Clerk 2|032|Fire|F|Full Time|006|Administrative Support|M|01|White (Not of Hispanic Origin)|1972
107771|SR0701| $15,535.10 |06880|Recreation Leader|040|Parks|P|Part Time|005|Para-Professional|M|02|Black|1984
107772|SR0703| $16,566.45 |06880|Recreation Leader|040|Parks|P|Part Time|005|Para-Professional|F|01|White (Not of Hispanic Origin)|1963
108512|SR1300| $74,226.95 |07242|Admin Svcs Mgr|021|Public Defender|F|Full Time|001|Officials and Administrators|F|01|White (Not of Hispanic Origin)|1960
108626|SR0502| $26,810.62 |07363|Police Operations Asst 2|031|Police|F|Full Time|006|Administrative Support|F|01|White (Not of Hispanic Origin)|1983
108630|SR0702| $33,435.72 |07365|Police Operations Coord 1|031|Police|F|Full Time|006|Administrative Support|F|01|White (Not of Hispanic Origin)|1986
108705|SR0803| $38,351.76 |07784|Info Systems App Tech 1|039|Public Library|F|Full Time|003|Technicians|F|01|White (Not of Hispanic Origin)|1974
109073|TG0702| $33,250.76 |06827|Equip Operator 2|042|Public Works|F|Full Time|008|Service Maintenance|M|01|White (Not of Hispanic Origin)|1988
109075|TG0502| $29,631.63 |06826|Equip Operator 1|042|Public Works|F|Full Time|008|Service Maintenance|M|01|White (Not of Hispanic Origin)|1987
109379|SR0600| $30,595.14 |10122|Office Support Rep 3|038|Health|F|Full Time|006|Administrative Support|F|03|Hispanic|1975
109380|HD1100| $135,934.89 |07424|Medical Doctor|038|Health|F|Full Time|002|Professionals|F|02|Black|1975
109495|PS0402| $46,383.12 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1981
109496|PS0402| $49,166.11 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1983
109498|PS0402| $46,383.12 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|F|03|Hispanic|1986
109499|PS0402| $46,383.12 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|03|Hispanic|1989
109501|PS0402| $46,383.12 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1986
109502|PS0402| $49,166.11 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1985
109503|PS0402| $49,166.11 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1981
109504|PS0402| $46,383.12 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1987
109505|PS0402| $46,383.12 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|02|Black|1980
109507|PS0402| $46,383.12 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1986
109510|PS0402| $46,383.12 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1987
109512|PS0402| $49,166.11 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1988
109513|PS0402| $47,774.61 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1988
109514|PS0402| $46,383.12 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|03|Hispanic|1986
109515|PS0402| $49,166.11 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1971
109516|PS0402| $46,383.12 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1985
109518|PS0402| $46,383.12 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|02|Black|1986
109519|PS0402| $49,166.11 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1987
109521|PS0402| $46,383.12 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1983
109522|PS0402| $46,383.12 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1984
109524|PS0402| $49,166.11 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1987
109525|PS0402| $49,166.11 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|03|Hispanic|1983
109526|PS0402| $49,166.11 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1987
109527|PS0402| $49,166.11 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1987
109528|PS0402| $49,166.11 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1985
109529|PS0402| $46,383.12 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1982
109530|PS0402| $46,383.12 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|04|Asian or Pacific Islander|1986
109531|PS0402| $47,774.61 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1965
109532|PS0402| $46,383.12 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1976
109533|PS0402| $49,166.11 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1988
109534|PS0402| $49,166.11 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|04|Asian or Pacific Islander|1988
109535|PS0402| $49,166.11 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|F|02|Black|1974
109536|PS0402| $47,774.61 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1965
109542|PS0402| $46,383.12 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1985
109543|PS0402| $49,166.11 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1988
109544|PS0402| $49,166.11 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|02|Black|1988
109545|PS0402| $49,166.11 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1990
109546|PS0402| $46,383.12 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1988
109547|PS0402| $46,383.12 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1976
109548|PS0402| $46,383.12 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|F|01|White (Not of Hispanic Origin)|1984
109550|PS0402| $49,166.11 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1985
109551|PS0402| $49,166.11 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1988
110059|PS0402| $49,166.11 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|F|01|White (Not of Hispanic Origin)|1987
110060|PS0402| $49,166.11 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1987
110061|SR0901| $39,821.99 |10647|PT Case Officers|030|Sheriff|F|Full Time|006|Administrative Support|M|01|White (Not of Hispanic Origin)|1989
110062|PS0402| $47,774.61 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|02|Black|1986
110063|PS0402| $46,383.12 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1968
110064|PS0402| $49,166.11 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1989
110065|PS0402| $49,166.11 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|02|Black|1989
110066|PS0402| $49,166.11 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1989
110067|PS0402| $49,166.11 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|02|Black|1970
110068|PS0402| $46,383.12 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|02|Black|1990
110069|PS0402| $47,774.61 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1987
110070|PS0402| $49,166.11 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1986
110071|PS0402| $49,166.11 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1989
110073|PS0402| $49,166.11 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|F|01|White (Not of Hispanic Origin)|1989
110074|PS0402| $46,383.12 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1968
110077|PS0402| $47,774.61 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1991
110079|PS0402| $46,383.12 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|F|01|White (Not of Hispanic Origin)|1984
110081|PS0402| $46,383.12 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|03|Hispanic|1986
110083|PS0402| $49,166.11 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|02|Black|1983
110084|PS0402| $49,166.11 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1987
110089|ET0201| $32,356.77 |10408|Emer Telecommunications Off 2|091|Emergency Communication Center|F|Full Time|006|Administrative Support|M|03|Hispanic|1987
110090|PS0402| $49,166.11 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1988
110092|PS0402| $47,774.61 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1982
110094|PS0402| $46,383.12 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1985
110096|PS0402| $49,166.11 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|M|02|Black|1988
110097|PS0402| $49,166.11 |07356|Police Officer 2|031|Police|F|Full Time|004|Protective Service Workers|F|01|White (Not of Hispanic Origin)|1987
110425|| $33,228.00 ||.|923|Circuit Court Satellite|F|Full Time|006|Administrative Support|M|02|Black|1989
110664|SR0601| $29,027.16 |10122|Office Support Rep 3|039|Public Library|F|Full Time|006|Administrative Support|M|02|Black|1954
110665|SR0503| $27,675.28 |04725|Property Guard 2|039|Public Library|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1949
110666|SR0503| $27,675.28 |04725|Property Guard 2|039|Public Library|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1952
110821|SR0603| $30,963.30 |04540|Computer Operator 2|014|Information Technology Service|F|Full Time|006|Administrative Support|M|02|Black|1960
110822|SR1400| $76,599.44 |06531|Human Resources Mgr|014|Information Technology Service|F|Full Time|001|Officials and Administrators|F|01|White (Not of Hispanic Origin)|1961
111663|SR0603| $30,963.30 |10122|Office Support Rep 3|065|Water Services|F|Full Time|006|Administrative Support|F|01|White (Not of Hispanic Origin)|1956
111664|SR1200| $54,814.00 |07245|Admin Svcs Officer 4|033|Codes Administration|F|Full Time|001|Officials and Administrators|M|01|White (Not of Hispanic Origin)|1975
111878|SR0600| $30,595.14 |10122|Office Support Rep 3|038|Health|F|Full Time|006|Administrative Support|F|03|Hispanic|1980
111921|TG0502| $29,631.63 |06826|Equip Operator 1|042|Public Works|F|Full Time|008|Service Maintenance|M|02|Black|1989
112034|NS| $28,614.50 |06788|Deputy Clerk 2|018|County Clerk|F|Full Time|006|Administrative Support|F|02|Black|1952
112522|SR0801| $35,955.04 |07375|Probation Officer 1|027|General Sessions Court|F|Full Time|002|Professionals|F|01|White (Not of Hispanic Origin)|1985
112584|PS0502| $51,233.06 |07344|Paramedic 2|032|Fire|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1973
112585|PS0502| $51,233.06 |07344|Paramedic 2|032|Fire|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1977
112586|PS0502| $51,233.06 |07344|Paramedic 2|032|Fire|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1973
112587|PS0502| $51,233.06 |07344|Paramedic 2|032|Fire|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1985
112589|PS0502| $51,233.06 |07344|Paramedic 2|032|Fire|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1984
112590|PS0502| $51,233.06 |07344|Paramedic 2|032|Fire|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1986
112591|PS0402| $46,383.12 |01818|Emerg Medical Tech 2|032|Fire|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1981
112592|PS0402| $47,774.61 |01818|Emerg Medical Tech 2|032|Fire|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1990
112593|PS0502| $51,233.06 |07344|Paramedic 2|032|Fire|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1981
112594|PS0501| $49,580.52 |07344|Paramedic 2|032|Fire|F|Full Time|003|Technicians|F|01|White (Not of Hispanic Origin)|1984
112595|PS0402| $46,383.12 |07309|Fire Fighter 2|032|Fire|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1979
112596|PS0401| $44,887.30 |07309|Fire Fighter 2|032|Fire|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1973
112597|PS0402| $46,383.12 |07309|Fire Fighter 2|032|Fire|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1984
112598|PS0402| $46,383.12 |07309|Fire Fighter 2|032|Fire|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1982
112599|PS0402| $47,774.61 |07309|Fire Fighter 2|032|Fire|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1974
112601|PS0402| $46,383.12 |07309|Fire Fighter 2|032|Fire|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1974
112602|PS0401| $44,887.30 |07309|Fire Fighter 2|032|Fire|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1973
112603|PS0402| $46,383.12 |07309|Fire Fighter 2|032|Fire|F|Full Time|004|Protective Service Workers|M|02|Black|1968
112604|PS0402| $46,383.12 |07309|Fire Fighter 2|032|Fire|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1984
112605|PS0402| $46,383.12 |07309|Fire Fighter 2|032|Fire|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1981
112606|PS0402| $49,166.11 |07309|Fire Fighter 2|032|Fire|F|Full Time|004|Protective Service Workers|F|01|White (Not of Hispanic Origin)|1976
112607|PS0402| $46,383.12 |07309|Fire Fighter 2|032|Fire|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1987
112608|PS0401| $44,888.48 |07309|Fire Fighter 2|032|Fire|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1977
112609|PS0402| $46,383.12 |07309|Fire Fighter 2|032|Fire|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1979
112610|PS0402| $46,383.12 |07309|Fire Fighter 2|032|Fire|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1985
112612|PS0402| $46,383.12 |01818|Emerg Medical Tech 2|032|Fire|F|Full Time|003|Technicians|F|01|White (Not of Hispanic Origin)|1989
112613|PS0502| $51,233.06 |07344|Paramedic 2|032|Fire|F|Full Time|003|Technicians|M|01|White (Not of Hispanic Origin)|1971
112614|PS0502| $51,233.06 |07344|Paramedic 2|032|Fire|F|Full Time|003|Technicians|F|01|White (Not of Hispanic Origin)|1977
112615|PS0402| $46,383.12 |07309|Fire Fighter 2|032|Fire|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1969
112617|PS0402| $46,383.12 |07309|Fire Fighter 2|032|Fire|F|Full Time|004|Protective Service Workers|M|01|White (Not of Hispanic Origin)|1975
113386|NS| $87,137.75 |04972|Special Asst|004|Mayor's Office|F|Full Time|002|Professionals|F|01|White (Not of Hispanic Origin)|1978
113389|TG1002| $38,498.50 |00960|Carpenter 1|042|Public Works|F|Full Time|008|Service Maintenance|M|03|Hispanic|1971
113474|SP0103| $8,763.30 |03445|School Crossing Guard|031|Police|P|Part Time|004|Protective Service Workers|F|01|White (Not of Hispanic Origin)|1967
113477|CA1000| $67,038.40 |10658|Technology Mgr-Conv Ctr Auth|071|Convention Center Authority|F|Full Time|001|Officials and Administrators|M|02|Black|1978
113479|MAC01A| $24,172.43 |10250|Teacher Asst|075|Metro Action Commission|F|Full Time|006|Administrative Support|F|02|Black|1979
113480|MAC09B| $40,456.00 |10202|Finance Officer 1|075|Metro Action Commission|F|Full Time|002|Professionals|M|01|White (Not of Hispanic Origin)|1981
113481|SR0701| $32,356.77 |10163|Service Rep 2|065|Water Services|F|Full Time|006|Administrative Support|F|01|White (Not of Hispanic Origin)|1983
113482|SR0803| $38,351.76 |10464|Water Quality Analyst 1|065|Water Services|F|Full Time|002|Professionals|M|02|Black|1960
113921|SR1500| $93,063.12 |07762|Special Projects Mgr|037|Social Services|F|Full Time|001|Officials and Administrators|M|01|White (Not of Hispanic Origin)|1978
114786|SR1103| $51,665.92 |07756|Technical Specialist 1|031|Police|F|Full Time|002|Professionals|M|01|White (Not of Hispanic Origin)|1982
114790|SR0703| $34,514.67 |06880|Recreation Leader|040|Parks|F|Full Time|005|Para-Professional|F|01|White (Not of Hispanic Origin)|1989
114793|SR0804| $39,550.12 |04949|Social Worker 1|019|District Attorney|F|Full Time|002|Professionals|F|01|White (Not of Hispanic Origin)|1976
115467|SR1200| $58,511.25 |07415|Treatment Plant Asst Mgr|065|Water Services|F|Full Time|002|Professionals|M|01|White (Not of Hispanic Origin)|1971
115525|CA0100| $24,024.00 |10674|Set Up Staff-Convention Ctr|071|Convention Center Authority|F|Full Time|008|Service Maintenance|M|02|Black|1980
117007|TG0901| $35,309.15 |07402|Signal Tech 1|042|Public Works|F|Full Time|008|Service Maintenance|M|02|Black|1961
117010|CA0100| $23,899.20 |10672|Housekeeping-Convention Ctr|071|Convention Center Authority|F|Full Time|008|Service Maintenance|F|02|Black|1990
117123|NS| $48,000.16 |07244|Admin Svcs Officer 3|028|State Trial Courts|P|Part Time|002|Professionals|M|01|White (Not of Hispanic Origin)|1972
117511|HD0300| $34,836.73 |10758|Public Health Nurse 1|038|Health|P|Part Time|002|Professionals|F|01|White (Not of Hispanic Origin)|1967
117512|SR0700| $34,104.43 |06481|Home Economist|038|Health|F|Full Time|002|Professionals|F|02|Black|1986
117741|SR1000| $32,916.60 |01463|Dental Hygienist 1|038|Health|P|Part Time|002|Professionals|F|01|White (Not of Hispanic Origin)|1967
117803|SR0503| $13,288.70 |06085|Concessions Clerk 2|040|Parks|P|Part Time|006|Administrative Support|F|01|White (Not of Hispanic Origin)|1980
118013|SR0800| $42,785.77 |06631|Food Inspector 1|038|Health|F|Full Time|001|Officials and Administrators|F|03|Hispanic|1965
118014|SR0800| $35,955.04 |01843|Environmentalist 1|038|Health|F|Full Time|001|Officials and Administrators|M|01|White (Not of Hispanic Origin)|1982
118168|SR1002| $45,452.36 |07244|Admin Svcs Officer 3|041|Arts Commission|F|Full Time|002|Professionals|F|01|White (Not of Hispanic Origin)|1988
118169|| $35,148.00 ||.|923|Circuit Court Satellite|F|Full Time|006|Administrative Support|F|01|White (Not of Hispanic Origin)|1965
