Pay Grade/Step,Annual Salary,Class .,Title,Current Dept Description,Employment Status,EEO Job Cat,EEO Job Cat Desc,Gender,Ethnic Code,Ethnic Code Description,Year of Birth,Date Started,FLSA Exempt Y/N,County
CO0103,34514.67,06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1990,11/01/2012,N,DAVIDSON
SR0803,38351.76,07375,Probation Officer 1,Juvenile Court,Full Time,002,Professionals,M,02,Black,1985,11/05/2012,N,SUMNER
SR0803,38351.76,07375,Probation Officer 1,Juvenile Court,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1982,11/05/2012,N,
CA0300,38313.6,10654,Accounting Clerk-Conv Ctr,Convention Center Authority,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1980,11/05/2012,N,SUMNER
SR1103,51665.92,07756,Technical Specialist 1,Police,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1966,11/16/2012,N,DAVIDSON
HD0300,33880.83,10758,Public Health Nurse 1,Health,Part Time,002,Professionals,F,01,White (Not of Hispanic Origin),1962,10/27/2012,N,DAVIDSON
SR0600,30595.14,10544,Animal Care & Control Off 1,Health,Full Time,008,Service Maintenance,F,01,White (Not of Hispanic Origin),1992,11/01/2012,N,DAVIDSON
SR0600,30595.14,10544,Animal Care & Control Off 1,Health,Full Time,008,Service Maintenance,F,01,White (Not of Hispanic Origin),1988,11/01/2012,N,DAVIDSON
NS,12570.85,09020,Seasonal/Part-time/Temporary,Health,Part Time,005,Para-Professional,F,01,White (Not of Hispanic Origin),1993,11/05/2012,N,RUTHERFORD
SR0703,25885.08,06880,Recreation Leader,Parks,Part Time,005,Para-Professional,F,02,Black,1956,10/30/2012,N,DAVIDSON
TG1102,40172.35,01880,Equip Mechanic,General Services,Full Time,007,Skilled Craft Workers,M,02,Black,1976,10/29/2012,N,DAVIDSON
SR0901,39821.99,07241,Admin Asst,Public Works,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1973,11/12/2012,N,RUTHERFORD
ET0301,39821.99,10409,Emer Telecommunications Off 3,Emergency Communication Center,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1979,11/12/2012,N,RUTHERFORD
ET0301,39821.99,10409,Emer Telecommunications Off 3,Emergency Communication Center,Full Time,006,Administrative Support,M,01,White (Not of Hispanic Origin),1982,11/12/2012,N,WILSON
SR0703,34514.67,10123,Office Support Spec 1,Metropolitan Clerk,Full Time,006,Administrative Support,M,01,White (Not of Hispanic Origin),1982,11/19/2012,N,DAVIDSON
SR0902,20574.32,10119,Office Support Mgr,Justice Integration Services,Part Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1957,11/19/2012,Y,DAVIDSON
MAC08B,37426.69,10236,Headstart Teacher 2,Metro Action Commission,Full Time,002,Professionals,F,02,Black,1989,11/12/2012,N,DAVIDSON
SR1300,65127.16,07346,Human Resources Admin,Public Library,Full Time,002,Professionals,F,02,Black,1962,11/19/2012,Y,SUMNER
MAC01A,24172.43,10250,Teacher Asst,Metro Action Commission,Full Time,006,Administrative Support,F,02,Black,1965,11/10/2014,N,DAVIDSON
HD0300,33880.83,10758,Public Health Nurse 1,Health,Part Time,002,Professionals,F,01,White (Not of Hispanic Origin),1950,11/10/2012,N,WILSON
SP0103,8763.3,03445,School Crossing Guard,Police,Part Time,004,Protective Service Workers,F,01,White (Not of Hispanic Origin),1956,11/07/2012,N,DAVIDSON
CA0800,67932.8,10630,Engineering Mgr-Convention Ctr,Convention Center Authority,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1957,11/26/2012,Y,MONTGOMERY
PD0100,54227.7,10171,Asst Pub Defender,Public Defender,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1980,12/03/2012,Y,DAVIDSON
NS,8869.54,07243,Admin Svcs Officer 2,Sheriff,Part Time,002,Professionals,M,01,White (Not of Hispanic Origin),1954,11/26/2012,N,WILLIAMSON
CO0102,33435.72,06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1989,11/26/2012,N,SUMNER
SR1000,46665.17,10151,Finance Officer 2,Finance,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1976,12/03/2012,N,DAVIDSON
HD0300,49066.24,10758,Public Health Nurse 1,Health,Full Time,002,Professionals,F,02,Black,1968,12/01/2012,N,WILSON
SR0603,30963.3,03440,Equip & Supply Clerk 2,Fire,Full Time,006,Administrative Support,M,01,White (Not of Hispanic Origin),1972,12/01/2012,N,DAVIDSON
SR0701,15535.1,06880,Recreation Leader,Parks,Part Time,005,Para-Professional,M,02,Black,1984,11/30/2012,N,DAVIDSON
SR0703,16566.45,06880,Recreation Leader,Parks,Part Time,005,Para-Professional,F,01,White (Not of Hispanic Origin),1963,11/30/2012,N,DAVIDSON
SR1300,74226.95,07242,Admin Svcs Mgr,Public Defender,Full Time,001,Officials and Administrators,F,01,White (Not of Hispanic Origin),1960,12/17/2012,Y,DAVIDSON
SR0502,26810.62,07363,Police Operations Asst 2,Police,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1983,12/16/2012,N,DICKSON
SR0702,33435.72,07365,Police Operations Coord 1,Police,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1986,12/16/2012,N,DAVIDSON
SR0803,38351.76,07784,Info Systems App Tech 1,Public Library,Full Time,003,Technicians,F,01,White (Not of Hispanic Origin),1974,12/17/2012,N,WILLIAMSON
TG0702,33250.76,06827,Equip Operator 2,Public Works,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1988,12/10/2012,N,DAVIDSON
TG0502,29631.63,06826,Equip Operator 1,Public Works,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1987,12/10/2012,N,DAVIDSON
SR0600,30595.14,10122,Office Support Rep 3,Health,Full Time,006,Administrative Support,F,03,Hispanic,1975,12/17/2012,N,DAVIDSON
HD1100,135934.89,07424,Medical Doctor,Health,Full Time,002,Professionals,F,02,Black,1975,12/17/2012,Y,DAVIDSON
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1981,01/01/2013,N,RUTHERFORD
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1983,01/01/2013,N,WILSON
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,F,03,Hispanic,1986,01/01/2013,N,DAVIDSON
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,03,Hispanic,1989,01/01/2013,N,DAVIDSON
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1986,01/01/2013,N,DAVIDSON
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1985,01/01/2013,N,RUTHERFORD
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1981,01/01/2013,N,DAVIDSON
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,01/01/2013,N,DAVIDSON
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,02,Black,1980,01/01/2013,N,
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1986,01/01/2013,N,DAVIDSON
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,01/01/2013,N,DAVIDSON
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1988,01/01/2013,N,DAVIDSON
PS0402,47774.61,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1988,01/01/2013,N,DAVIDSON
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,03,Hispanic,1986,01/01/2013,N,DAVIDSON
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1971,01/01/2013,N,CHEATHAM
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1985,01/01/2013,N,SUMNER
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,02,Black,1986,01/01/2013,N,DAVIDSON
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,01/01/2013,N,DAVIDSON
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1983,01/01/2013,N,WILLIAMSON
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1984,01/01/2013,N,DAVIDSON
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,01/01/2013,N,RUTHERFORD
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,03,Hispanic,1983,01/01/2013,N,DAVIDSON
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,01/01/2013,N,CHEATHAM
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,01/01/2013,N,DAVIDSON
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1985,01/01/2013,N,DAVIDSON
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1982,01/01/2013,N,WILSON
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,04,Asian or Pacific Islander,1986,01/01/2013,N,MONTGOMERY
PS0402,47774.61,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1965,01/01/2013,N,DAVIDSON
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1976,01/01/2013,N,WILSON
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1988,01/01/2013,N,DAVIDSON
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,04,Asian or Pacific Islander,1988,01/01/2013,N,DAVIDSON
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,F,02,Black,1974,01/01/2013,N,DAVIDSON
PS0402,47774.61,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1965,01/01/2013,N,MONTGOMERY
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1985,01/01/2013,N,DAVIDSON
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1988,01/01/2013,N,DAVIDSON
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,02,Black,1988,01/01/2013,N,DAVIDSON
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1990,01/01/2013,N,DAVIDSON
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1988,01/01/2013,N,DAVIDSON
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1976,01/01/2013,N,DICKSON
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,F,01,White (Not of Hispanic Origin),1984,01/01/2013,N,DAVIDSON
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1985,01/01/2013,N,DAVIDSON
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1988,01/01/2013,N,WILSON
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,F,01,White (Not of Hispanic Origin),1987,01/01/2013,N,DAVIDSON
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,01/01/2013,N,CHEATHAM
SR0901,39821.99,10647,PT Case Officers,Sheriff,Full Time,006,Administrative Support,M,01,White (Not of Hispanic Origin),1989,10/01/2013,N,RUTHERFORD
PS0402,47774.61,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,02,Black,1986,01/01/2013,N,DAVIDSON
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1968,01/01/2013,N,ROBERTSON
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1989,01/01/2013,N,DAVIDSON
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,02,Black,1989,01/01/2013,N,WILLIAMSON
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1989,01/01/2013,N,ROBERTSON
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,02,Black,1970,01/01/2013,N,DAVIDSON
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,02,Black,1990,01/01/2013,N,SUMNER
PS0402,47774.61,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,01/01/2013,N,DAVIDSON
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1986,01/01/2013,N,DAVIDSON
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1989,01/01/2013,N,DAVIDSON
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,F,01,White (Not of Hispanic Origin),1989,01/01/2013,N,CHEATHAM
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1968,01/01/2013,N,DAVIDSON
PS0402,47774.61,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1991,01/01/2013,N,DAVIDSON
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,F,01,White (Not of Hispanic Origin),1984,01/01/2013,N,DAVIDSON
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,03,Hispanic,1986,01/01/2013,N,MONTGOMERY
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,02,Black,1983,01/01/2013,N,DAVIDSON
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,01/01/2013,N,WILLIAMSON
ET0201,32356.77,10408,Emer Telecommunications Off 2,Emergency Communication Center,Full Time,006,Administrative Support,M,03,Hispanic,1987,04/08/2013,N,WILSON
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1988,01/01/2013,N,DAVIDSON
PS0402,47774.61,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1982,01/01/2013,N,DAVIDSON
PS0402,46383.12,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1985,01/01/2013,N,WILSON
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,02,Black,1988,01/01/2013,N,DAVIDSON
PS0402,49166.11,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,F,01,White (Not of Hispanic Origin),1987,01/01/2013,N,DAVIDSON
NS,33228,,.,Circuit Court Satellite,Full Time,006,Administrative Support,M,02,Black,1989,01/01/2013,N,DAVIDSON
SR0601,29027.16,10122,Office Support Rep 3,Public Library,Full Time,006,Administrative Support,M,02,Black,1954,12/24/2012,N,DAVIDSON
SR0503,27675.28,04725,Property Guard 2,Public Library,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1949,12/24/2012,N,DAVIDSON
SR0503,27675.28,04725,Property Guard 2,Public Library,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1952,12/24/2012,N,RUTHERFORD
SR0603,30963.3,04540,Computer Operator 2,Information Technology Service,Full Time,006,Administrative Support,M,02,Black,1960,12/21/2012,N,RUTHERFORD
SR1400,76599.44,06531,Human Resources Mgr,Information Technology Service,Full Time,001,Officials and Administrators,F,01,White (Not of Hispanic Origin),1961,12/26/2012,Y,WILSON
SR0603,30963.3,10122,Office Support Rep 3,Water Services,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1956,12/22/2012,N,DAVIDSON
SR1200,54814,07245,Admin Svcs Officer 4,Codes Administration,Full Time,001,Officials and Administrators,M,01,White (Not of Hispanic Origin),1975,12/23/2013,Y,WILLIAMSON
SR0600,30595.14,10122,Office Support Rep 3,Health,Full Time,006,Administrative Support,F,03,Hispanic,1980,12/31/2012,N,DAVIDSON
TG0502,29631.63,06826,Equip Operator 1,Public Works,Full Time,008,Service Maintenance,M,02,Black,1989,02/04/2013,N,DAVIDSON
NS,28614.5,06788,Deputy Clerk 2,County Clerk,Full Time,006,Administrative Support,F,02,Black,1952,12/31/2012,N,DAVIDSON
SR0801,35955.04,07375,Probation Officer 1,General Sessions Court,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1985,04/01/2013,N,DAVIDSON
PS0502,51233.06,07344,Paramedic 2,Fire,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1973,01/01/2013,N,SUMNER
PS0502,51233.06,07344,Paramedic 2,Fire,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1977,01/01/2013,N,WILSON
PS0502,51233.06,07344,Paramedic 2,Fire,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1973,01/01/2013,N,RUTHERFORD
PS0502,51233.06,07344,Paramedic 2,Fire,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1985,01/01/2013,N,MARSHALL
PS0502,51233.06,07344,Paramedic 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1984,01/01/2013,N,WILSON
PS0502,51233.06,07344,Paramedic 2,Fire,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1986,01/01/2013,N,SUMNER
PS0402,46383.12,01818,Emerg Medical Tech 2,Fire,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1981,01/01/2013,N,DAVIDSON
PS0402,47774.61,01818,Emerg Medical Tech 2,Fire,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1990,01/01/2013,N,DAVIDSON
PS0502,51233.06,07344,Paramedic 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1981,01/01/2013,N,WILSON
PS0501,49580.52,07344,Paramedic 2,Fire,Full Time,003,Technicians,F,01,White (Not of Hispanic Origin),1984,01/01/2013,N,MONTGOMERY
PS0402,46383.12,07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1979,01/01/2013,N,ROBERTSON
PS0402,46383.12,07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1973,01/01/2013,N,SUMNER
PS0402,46383.12,07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1984,01/01/2013,N,CHEATHAM
PS0402,46383.12,07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1982,01/01/2013,N,DAVIDSON
PS0402,47774.61,07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1974,01/01/2013,N,ROBERTSON
PS0402,46383.12,07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1974,01/01/2013,N,DAVIDSON
PS0402,46383.12,07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1973,01/01/2013,N,DAVIDSON
PS0402,46383.12,07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,02,Black,1968,01/01/2013,N,DAVIDSON
PS0402,46383.12,07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1984,01/01/2013,N,DAVIDSON
PS0402,46383.12,07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1981,01/01/2013,N,DAVIDSON
PS0402,49166.11,07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,F,01,White (Not of Hispanic Origin),1976,01/01/2013,N,DAVIDSON
PS0402,46383.12,07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,01/01/2013,N,RUTHERFORD
PS0401,44888.48,07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1977,10/01/2013,N,RUTHERFORD
PS0402,46383.12,07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1979,01/01/2013,N,DAVIDSON
PS0402,46383.12,07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1985,01/01/2013,N,CHEATHAM
PS0402,46383.12,01818,Emerg Medical Tech 2,Fire,Full Time,003,Technicians,F,01,White (Not of Hispanic Origin),1989,01/01/2013,N,ROBERTSON
PS0502,51233.06,07344,Paramedic 2,Fire,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1971,01/01/2013,N,MAURY
PS0502,51233.06,07344,Paramedic 2,Fire,Full Time,003,Technicians,F,01,White (Not of Hispanic Origin),1977,01/01/2013,N,SMITH
PS0402,46383.12,07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1969,01/01/2013,N,WILSON
PS0402,46383.12,07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1975,01/01/2013,N,DAVIDSON
NS,87137.75,04972,Special Asst,Mayor's Office,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1978,01/07/2013,Y,DAVIDSON
TG1002,38498.5,00960,Carpenter 1,Public Works,Full Time,008,Service Maintenance,M,03,Hispanic,1971,01/07/2013,N,RUTHERFORD
SP0103,8763.3,03445,School Crossing Guard,Police,Part Time,004,Protective Service Workers,F,01,White (Not of Hispanic Origin),1967,01/07/2013,N,DAVIDSON
CA1000,67038.4,10658,Technology Mgr-Conv Ctr Auth,Convention Center Authority,Full Time,001,Officials and Administrators,M,02,Black,1978,01/07/2013,Y,DAVIDSON
MAC01A,24172.43,10250,Teacher Asst,Metro Action Commission,Full Time,006,Administrative Support,F,02,Black,1979,01/07/2013,N,DAVIDSON
MAC09B,40456,10202,Finance Officer 1,Metro Action Commission,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1981,01/07/2013,N,DAVIDSON
SR0701,32356.77,10163,Service Rep 2,Water Services,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1983,01/05/2013,N,DAVIDSON
SR0803,38351.76,10464,Water Quality Analyst 1,Water Services,Full Time,002,Professionals,M,02,Black,1960,01/05/2013,N,DAVIDSON
SR1500,93063.12,07762,Special Projects Mgr,Social Services,Full Time,001,Officials and Administrators,M,01,White (Not of Hispanic Origin),1978,01/07/2013,Y,DAVIDSON
