Pay Grade/Step,Annual Salary,Class .,Title,Current Dept Description,Employment Status,EEO Job Cat,EEO Job Cat Desc,Gender,Ethnic Code,Ethnic Code Description,Year of Birth,Date Started,FLSA Exempt Y/N
CO0104,36483.46,06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,F,02,Black,1964,11/1/2012,N
SR0704,36483.46,07711,Sheriff Prisoner Processor 1,Sheriff,Full Time,006,Administrative Support,F,02,Black,1989,11/1/2012,N
CO0104,36483.46,06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1983,11/1/2012,N
CO0202,38082.24,06981,Correctional Officer 2,Sheriff,Full Time,004,Protective Service Workers,M,03,Hispanic,1982,11/1/2012,N
CO0202,38082.24,06981,Correctional Officer 2,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1990,11/1/2012,N
SR1001,45086.06,04710,Probation Officer 2,Juvenile Court,Full Time,002,Professionals,M,02,Black,1985,11/5/2012,N
SR1001,45086.08,04710,Probation Officer 2,Juvenile Court,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1982,11/5/2012,N
CA0300,39457.6,10654,Accounting Clerk-Conv Ctr,Convention Center Authority,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1980,11/5/2012,N
SR1104,54612.08,07756,Technical Specialist 1,Police,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1966,11/16/2012,N
HD0300,35422.41,10758,Public Health Nurse 1,Health,Part Time,002,Professionals,F,01,White (Not of Hispanic Origin),1962,10/27/2012,N
SR0800,37590.99,10784,Animal Care & Cont Officer 3,Health,Full Time,008,Service Maintenance,F,01,White (Not of Hispanic Origin),1988,11/1/2012,N
SR0704,27362.4,06880,Recreation Leader,Parks,Part Time,005,Para-Professional,F,02,Black,1956,10/30/2012,N
TG1102,41176.66,01880,Equip Mechanic,General Services,Full Time,007,Skilled Craft Workers,M,02,Black,1976,10/29/2012,N
SR0902,42178.09,07241,Admin Asst,Public Works,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1973,11/12/2012,N
ET0302,42178.09,10409,Emer Telecommunications Off 3,Emergency Communication Center,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1979,11/12/2012,N
ET0302,42178.09,10409,Emer Telecommunications Off 3,Emergency Communication Center,Full Time,006,Administrative Support,M,01,White (Not of Hispanic Origin),1982,11/12/2012,N
SR0803,39310.55,07243,Admin Svcs Officer 2,Metropolitan Clerk,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1982,11/19/2012,N
SR0801,36853.92,10102,Application Tech 2,Finance,Full Time,003,Technicians,F,01,White (Not of Hispanic Origin),1957,11/19/2012,Y
MAC08B,38362.36,10236,Headstart Teacher 2,Metro Action Commission,Full Time,002,Professionals,F,02,Black,1989,11/12/2012,N
SR1300,68090.45,07346,Human Resources Admin,Public Library,Full Time,002,Professionals,F,02,Black,1962,11/19/2012,Y
MAC01A,24776.74,10250,Teacher Asst,Metro Action Commission,Full Time,006,Administrative Support,F,02,Black,1965,11/10/2014,N
HD0300,35422.41,10758,Public Health Nurse 1,Health,Part Time,002,Professionals,F,01,White (Not of Hispanic Origin),1950,11/10/2012,N
SP0100,9822.27,03445,School Crossing Guard,Police,Part Time,004,Protective Service Workers,F,01,White (Not of Hispanic Origin),1956,11/7/2012,N
PD0100,57250.89,10171,Asst Pub Defender,Public Defender,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1980,12/3/2012,Y
NS,8869.54,07243,Admin Svcs Officer 2,Sheriff,Part Time,002,Professionals,M,01,White (Not of Hispanic Origin),1954,11/26/2012,N
SR1000,49745.07,10151,Finance Officer 2,Finance,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1976,12/3/2012,Y
HD0300,51298.75,10758,Public Health Nurse 1,Health,Full Time,002,Professionals,F,02,Black,1968,12/1/2012,N
SR0603,31737.38,03440,Equip & Supply Clerk 2,Fire,Full Time,006,Administrative Support,M,01,White (Not of Hispanic Origin),1972,12/1/2012,N
SR0701,15919.49,06880,Recreation Leader,Parks,Part Time,005,Para-Professional,M,02,Black,1984,11/30/2012,N
SR0704,17511.94,06880,Recreation Leader,Parks,Part Time,005,Para-Professional,F,01,White (Not of Hispanic Origin),1963,11/30/2012,N
SR0901,40817.54,06034,Program Coord,Public Library,Full Time,002,Professionals,F,02,Black,1974,10/25/2015,Y
SR1300,77604.27,07242,Admin Svcs Mgr,Public Defender,Full Time,001,Officials and Administrators,F,01,White (Not of Hispanic Origin),1960,12/17/2012,Y
SR0701,33165.69,07711,Sheriff Prisoner Processor 1,Sheriff,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1983,12/16/2012,N
SR0702,34271.61,07365,Police Operations Coord 1,Police,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1986,12/16/2012,N
SR0803,39310.55,07784,Info Systems App Tech 1,Public Library,Full Time,003,Technicians,F,01,White (Not of Hispanic Origin),1974,12/17/2012,N
TG0802,35797.73,07303,Equip Operator 3,Public Works,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1988,12/10/2012,N
TG0502,30372.42,06826,Equip Operator 1,Public Works,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1987,12/10/2012,N
SR0600,31987.22,10122,Office Support Rep 3,Health,Full Time,006,Administrative Support,F,03,Hispanic,1975,12/17/2012,N
HD1100,142119.93,07424,Medical Doctor,Health,Full Time,002,Professionals,F,02,Black,1975,12/17/2012,Y
PS0402,47542.7,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1981,1/1/2013,N
PS0403,52020.45,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1983,1/1/2013,N
PS0402,47542.7,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,F,03,Hispanic,1986,1/1/2013,N
PS0402,47542.7,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,03,Hispanic,1989,1/1/2013,N
PS0403,49075.9,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1986,1/1/2013,N
PS0402,50395.26,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1985,1/1/2013,N
PS0403,52020.45,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1981,1/1/2013,N
PS0402,47542.7,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,1/1/2013,N
PS0402,47542.7,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,02,Black,1980,1/1/2013,N
PS0403,49075.9,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1986,1/1/2013,N
PS0403,49075.9,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,1/1/2013,N
PS0402,50395.26,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1988,1/1/2013,N
PS0402,48968.98,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1988,1/1/2013,N
PS0402,47542.7,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,03,Hispanic,1986,1/1/2013,N
PS0403,52020.45,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1971,1/1/2013,N
PS0403,49075.9,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1985,1/1/2013,N
PS0402,50395.26,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,1/1/2013,N
PS0402,47542.7,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1983,1/1/2013,N
PS0403,49075.9,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1984,1/1/2013,N
PS0403,52020.45,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,1/1/2013,N
PS0402,50395.26,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,03,Hispanic,1983,1/1/2013,N
PS0402,50395.26,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,1/1/2013,N
PS0402,50395.26,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,1/1/2013,N
PS0403,52020.45,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1985,1/1/2013,N
PS0402,47542.7,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,04,Asian or Pacific Islander,1986,1/1/2013,N
PS0403,50548.18,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1965,1/1/2013,N
PS0402,47542.7,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1976,1/1/2013,N
PS0402,50395.26,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1988,1/1/2013,N
PS0402,50395.26,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,04,Asian or Pacific Islander,1988,1/1/2013,N
PS0402,50395.26,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,F,02,Black,1974,1/1/2013,N
PS0403,50548.18,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1965,1/1/2013,N
PS0402,47542.7,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1985,1/1/2013,N
PS0402,50395.26,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1988,1/1/2013,N
PS0402,50395.26,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,02,Black,1988,1/1/2013,N
PS0402,50395.26,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1990,1/1/2013,N
PS0403,49075.9,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1988,1/1/2013,N
PS0402,47542.7,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1976,1/1/2013,N
PS0402,50395.26,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1985,1/1/2013,N
PS0402,50395.26,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1988,1/1/2013,N
PS0403,52020.45,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,F,01,White (Not of Hispanic Origin),1987,1/1/2013,N
PS0402,50395.26,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,1/1/2013,N
SR0902,42178.09,10647,PT Case Officers,Sheriff,Full Time,006,Administrative Support,M,01,White (Not of Hispanic Origin),1989,10/1/2013,N
PS0402,48968.98,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,02,Black,1986,1/1/2013,N
PS0402,47542.7,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1968,1/1/2013,N
PS0403,52020.45,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1989,1/1/2013,N
PS0402,50395.26,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1989,1/1/2013,N
PS0403,52020.45,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,02,Black,1970,1/1/2013,N
PS0402,47542.7,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,02,Black,1990,1/1/2013,N
PS0402,48968.98,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,1/1/2013,N
PS0402,50395.26,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1986,1/1/2013,N
PS0403,52020.45,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1989,1/1/2013,N
PS0403,52020.45,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,F,01,White (Not of Hispanic Origin),1989,1/1/2013,N
PS0402,47542.7,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1968,1/1/2013,N
PS0402,48968.98,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1991,1/1/2013,N
PS0402,47542.56,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,F,01,White (Not of Hispanic Origin),1984,1/1/2013,N
PS0402,47542.7,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,03,Hispanic,1986,1/1/2013,N
PS0403,52020.45,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,02,Black,1983,1/1/2013,N
PS0402,50395.26,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,1/1/2013,N
PS0403,52020.45,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1988,1/1/2013,N
PS0403,50548.18,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1982,1/1/2013,N
PS0402,47542.7,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1985,1/1/2013,N
PS0403,52020.45,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,M,02,Black,1988,1/1/2013,N
PS0403,52020.45,07356,Police Officer 2,Police,Full Time,004,Protective Service Workers,F,01,White (Not of Hispanic Origin),1987,1/1/2013,N
SR0602,30745.11,10122,Office Support Rep 3,Public Library,Full Time,006,Administrative Support,M,02,Black,1954,12/24/2012,N
SR0503,28367.16,04725,Property Guard 2,Public Library,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1949,12/24/2012,N
SR0901,40817.54,07798,Security Officer Coord,Public Library,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1952,12/24/2012,N
SR0800,36853.92,10478,Information Sys Oper Tech 1,Information Technology Service,Full Time,003,Technicians,M,02,Black,1960,12/21/2012,N
SR1500,99626.54,07744,Info Systems Asst Dir,Information Technology Service,Full Time,001,Officials and Administrators,F,01,White (Not of Hispanic Origin),1961,12/26/2012,Y
SR0603,31737.38,10122,Office Support Rep 3,Water Services,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1956,12/22/2012,N
SR1200,57308,07245,Admin Svcs Officer 4,Codes Administration,Full Time,001,Officials and Administrators,M,01,White (Not of Hispanic Origin),1975,12/23/2013,Y
SR0600,31987.22,10122,Office Support Rep 3,Health,Full Time,006,Administrative Support,F,03,Hispanic,1980,12/31/2012,N
TG0801,34337.07,07303,Equip Operator 3,Public Works,Full Time,008,Service Maintenance,M,02,Black,1989,2/4/2013,N
NS,30503.06,06788,Deputy Clerk 2,County Clerk,Full Time,006,Administrative Support,F,02,Black,1952,12/31/2012,N
SR0802,38082.24,07375,Probation Officer 1,General Sessions Court,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1985,4/1/2013,N
PS0503,54207.74,07344,Paramedic 2,Fire,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1973,1/1/2013,N
PS0503,54207.74,07344,Paramedic 2,Fire,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1985,1/1/2013,N
PS0502,52513.89,07344,Paramedic 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1984,1/1/2013,N
PS0502,52513.89,07344,Paramedic 2,Fire,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1986,1/1/2013,N
PS0403,49075.9,01818,Emerg Medical Tech 2,Fire,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1981,1/1/2013,N
PS0403,50548.18,01818,Emerg Medical Tech 2,Fire,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1990,1/1/2013,N
PS0502,52513.89,07344,Paramedic 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1981,1/1/2013,N
PS0502,52513.89,07344,Paramedic 2,Fire,Full Time,003,Technicians,F,01,White (Not of Hispanic Origin),1984,1/1/2013,N
PS0402,47542.7,07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1979,1/1/2013,N
PS0402,47542.7,07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1984,1/1/2013,N
PS0402,47542.7,07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1982,1/1/2013,N
PS0402,48968.98,07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1974,1/1/2013,N
PS0403,49075.9,07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1974,1/1/2013,N
PS0402,47542.7,07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1973,1/1/2013,N
PS0402,47542.7,07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,02,Black,1968,1/1/2013,N
PS0403,49075.9,07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1984,1/1/2013,N
PS0402,47542.7,07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1981,1/1/2013,N
PS0402,50395.26,07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,F,01,White (Not of Hispanic Origin),1976,1/1/2013,N
PS0402,47542.7,07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1987,1/1/2013,N
PS0402,47542.7,07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1977,10/1/2013,N
PS0402,47542.7,07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1979,1/1/2013,N
PS0402,47542.7,07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1985,1/1/2013,N
PS0403,49075.9,01818,Emerg Medical Tech 2,Fire,Full Time,003,Technicians,F,01,White (Not of Hispanic Origin),1989,1/1/2013,N
PS0503,54207.74,07344,Paramedic 2,Fire,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1971,1/1/2013,N
PS0503,54207.74,07344,Paramedic 2,Fire,Full Time,003,Technicians,F,01,White (Not of Hispanic Origin),1977,1/1/2013,N
PS0403,49075.9,07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1969,1/1/2013,N
PS0402,47542.7,07309,Fire Fighter 2,Fire,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1975,1/1/2013,N
TG1002,39460.96,00960,Carpenter 1,Public Works,Full Time,008,Service Maintenance,M,03,Hispanic,1971,1/7/2013,N
MAC01A,24776.74,10250,Teacher Asst,Metro Action Commission,Full Time,006,Administrative Support,F,02,Black,1979,1/7/2013,N
SR1000,48000,10151,Finance Officer 2,Finance,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1981,11/9/2015,N
SR0801,36853.92,10124,Office Support Spec 2,Water Services,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1983,1/5/2013,N
SR0803,39310.55,10464,Water Quality Analyst 1,Water Services,Full Time,002,Professionals,M,02,Black,1960,1/5/2013,N
SR1500,97297.49,07762,Special Projects Mgr,Social Services,Full Time,001,Officials and Administrators,M,01,White (Not of Hispanic Origin),1978,1/7/2013,Y
SR1103,52957.57,07756,Technical Specialist 1,Police,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1982,1/16/2013,N
SR0703,35377.54,06880,Recreation Leader,Parks,Full Time,005,Para-Professional,F,01,White (Not of Hispanic Origin),1989,1/8/2013,N
SR0804,40538.87,04949,Social Worker 1,District Attorney,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1976,1/14/2013,N
SR1200,61173.51,07415,Treatment Plant Asst Mgr,Water Services,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1971,1/12/2013,Y
CA0100,24024,10674,Set Up Staff-Convention Ctr,Convention Center Authority,Full Time,008,Service Maintenance,M,02,Black,1980,1/8/2013,N
MAC01A,24281.2,10250,Teacher Asst,Metro Action Commission,Full Time,006,Administrative Support,M,01,White (Not of Hispanic Origin),1989,9/28/2015,N
TG0902,37652.52,07402,Signal Tech 1,Public Works,Full Time,008,Service Maintenance,M,02,Black,1961,1/22/2013,N
CA0100,23899.2,10672,Housekeeping-Convention Ctr,Convention Center Authority,Full Time,008,Service Maintenance,F,02,Black,1990,1/23/2013,N
NS,48000.16,07244,Admin Svcs Officer 3,State Trial Courts,Part Time,002,Professionals,M,01,White (Not of Hispanic Origin),1972,1/7/2013,Y
HD0300,36421.8,10758,Public Health Nurse 1,Health,Part Time,002,Professionals,F,01,White (Not of Hispanic Origin),1967,1/28/2013,N
SR0700,35656.18,06481,Home Economist,Health,Full Time,002,Professionals,F,02,Black,1986,1/28/2013,N
SR1000,34414.31,01463,Dental Hygienist 1,Health,Part Time,002,Professionals,F,01,White (Not of Hispanic Origin),1967,1/31/2013,Y
SR0503,13616.18,06085,Concessions Clerk 2,Parks,Part Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1980,1/25/2013,N
SR0800,44732.52,06631,Food Inspector 1,Health,Full Time,001,Officials and Administrators,F,03,Hispanic,1965,2/1/2013,N
SR0800,37590.99,01843,Environmentalist 1,Health,Full Time,001,Officials and Administrators,M,01,White (Not of Hispanic Origin),1982,2/1/2013,N
SR1003,48091.29,07244,Admin Svcs Officer 3,Arts Commission,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1988,1/29/2013,Y
NS,36036,,                             .,Circuit Court Satellite,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1965,2/1/2013,N
SR1200,57800,04400,Appraiser 4,Assessor of Property,Full Time,002,Professionals,F,01,White (Not of Hispanic Origin),1968,1/22/2013,Y
SR0901,40817.54,10119,Office Support Mgr,Assessor of Property,Full Time,006,Administrative Support,F,02,Black,1977,1/22/2013,N
TG0503,31624.41,06826,Equip Operator 1,Public Works,Full Time,008,Service Maintenance,M,01,White (Not of Hispanic Origin),1993,2/4/2013,N
ET0301,40817.54,10409,Emer Telecommunications Off 3,Emergency Communication Center,Full Time,006,Administrative Support,M,01,White (Not of Hispanic Origin),1989,2/4/2013,N
ET0301,40817.54,10409,Emer Telecommunications Off 3,Emergency Communication Center,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1979,2/4/2013,N
ET0301,40817.54,10409,Emer Telecommunications Off 3,Emergency Communication Center,Full Time,006,Administrative Support,M,01,White (Not of Hispanic Origin),1990,2/4/2013,N
SR1400,76249.6,06232,Finance Mgr,Social Services,Full Time,002,Professionals,F,04,Asian or Pacific Islander,1953,2/12/2013,Y
SR1100,50641.51,07376,Program Mgr 1,Human Relations Commission,Full Time,002,Professionals,M,01,White (Not of Hispanic Origin),1983,2/11/2013,Y
CA0500,50200.8,10659,Technology Supv-Conv Ctr Auth,Convention Center Authority,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1983,2/4/2013,Y
SR0702,34271.61,07365,Police Operations Coord 1,Police,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1988,2/16/2013,N
SR0510,34571.05,10755,Call Center Operator-DCSO,Sheriff,Full Time,006,Administrative Support,F,01,White (Not of Hispanic Origin),1978,3/1/2013,N
CO0103,35377.54,06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1982,3/1/2013,N
CO0103,35377.54,06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1968,3/1/2013,N
CO0301,40817.54,06690,Correctional Officer Sergeant,Sheriff,Full Time,004,Protective Service Workers,M,01,White (Not of Hispanic Origin),1986,3/1/2013,N
PS0401,46009.48,01818,Emerg Medical Tech 2,Fire,Full Time,003,Technicians,F,02,Black,1978,4/16/2015,N
PS0401,47389.76,01818,Emerg Medical Tech 2,Fire,Full Time,003,Technicians,M,01,White (Not of Hispanic Origin),1990,4/16/2015,N
CO0203,39310.55,06981,Correctional Officer 2,Sheriff,Full Time,004,Protective Service Workers,M,02,Black,1987,3/1/2013,N
CO0203,39310.55,06981,Correctional Officer 2,Sheriff,Full Time,004,Protective Service Workers,M,02,Black,1981,3/1/2013,N
CO0103,35377.54,06982,Correctional Officer 1,Sheriff,Full Time,004,Protective Service Workers,F,02,Black,1984,3/1/2013,N
SR0902,42178.09,10638,Sheriff Education Coord,Sheriff,Full Time,006,Administrative Support,M,01,White (Not of Hispanic Origin),1978,3/1/2013,N
